trainNumber,trainDirection,trainColorType,carsOfTrain,doorsOfCar,destStationName,depTime,depRow,arrTime,arrRow,
3040303530FFFF00,1,ous,2,2,“ñ“úŽs,5:04,49,5:08,37,
3040353530FFFF00,1,ous,4,3,“ñ“úŽs,5:07,49,5:12,37,
3040353532FFFF00,1,ous,2,2,‹v—¯•Ä,5:17,82,5:19,79,
3040303533FFFF00,0,ous,4,4,‰Ô”¨,5:20,49,5:38,82,
3040303531FFFF00,0,ous,7,3,‘å–´“c,5:20,115,5:33,148,
3040353630FFFF00,1,ous,4,3,“ñ“úŽs,5:26,49,5:32,37,
3040303731FFFF00,0,ous,7,3,‘å–´“c,7:50,82,7:52,88,
3040303731FFFF00,0,ous,7,3,‘å–´“c,7:56,88,8:15,115,
3040363630FFFF00,1,ous,4,3,“ñ“úŽs,16:36,49,16:46,37,
3040313631FFFF00,1,ous,5,3,“ñ“úŽs,16:56,37,17:04,49,
3040323230FFFF00,1,ous,5,3,’}Ž‡,22:18,79,22:32,49,
3040323330FFFF00,1,ous,4,4,’}Ž‡,23:25,64,23:31,49,
3040323332FFFF00,1,ous,2,2,’}Ž‡,23:47,79,23:59,49,
3040323334FFFF00,1,ous,6,3,’}Ž‡,23:54,148,24:10,115,
3040363331FFFF00,0,ous,4,3,’}Ž‡,23:39,37,23:45,49,
3040323331FFFF00,0,ous,4,3,’}Ž‡,23:45,37,23:50,49,
3040363333FFFF00,0,ous,4,3,’}Ž‡,23:59,37,24:06,49,
3040323431FFFF00,0,ous,2,2,’}Ž‡,24:08,37,24:14,49,
3040393830FFFF00,1,ous,3,1,•Ÿ‰ª,8:24,49,8:30,37,
3040393830FFFF00,1,ous,3,1,•Ÿ‰ª,8:32,37,8:40,25,
3040393830FFFF00,1,ous,3,1,•Ÿ‰ª,8:47,25,9:03,1,
3040393931FFFF00,0,sig,3,1,‰Ô”¨,9:22,1,9:37,25,
3040393931FFFF00,0,sig,3,1,‰Ô”¨,9:43,25,10:06,64,
3040393931FFFF00,0,sig,3,1,‰Ô”¨,10:11,64,10:25,82,
3040393030FFFF00,1,sig,3,1,•Ÿ‰ª,10:43,82,11:02,49,
3040393030FFFF00,1,sig,3,1,•Ÿ‰ª,11:19,49,11:26,37,
3040393030FFFF00,1,sig,3,1,•Ÿ‰ª,11:33,37,11:40,25,
3040393030FFFF00,1,sig,3,1,•Ÿ‰ª,11:46,25,12:02,1,
3040393231FFFF00,0,ous,3,1,‘å‹´,12:22,1,12:28,13,
3040393230FFFF00,1,ous,3,1,•Ÿ‰ª,12:35,13,12:43,1,
3040393233FFFF00,0,sig,3,1,‘å–´“c,12:51,1,13:07,25,
3040393233FFFF00,0,sig,3,1,‘å–´“c,13:13,25,13:19,37,
3040393233FFFF00,0,sig,3,1,‘å–´“c,13:27,37,13:35,49,
3040393233FFFF00,0,sig,3,1,‘å–´“c,13:55,49,14:11,82,
3040393233FFFF00,0,sig,3,1,‘å–´“c,14:35,82,14:39,88,
3040393233FFFF00,0,sig,3,1,‘å–´“c,14:41,88,15:02,115,
3040393233FFFF00,0,sig,3,1,‘å–´“c,15:08,115,15:16,127,
3040393233FFFF00,0,sig,3,1,‘å–´“c,15:18,127,15:30,148,
3040393530FFFF00,1,ous,3,1,’}Ž‡,15:59,148,16:07,127,
3040393530FFFF00,1,ous,3,1,’}Ž‡,16:09,127,16:16,115,
3040393530FFFF00,1,ous,3,1,’}Ž‡,16:20,115,16:34,94,
3040393530FFFF00,1,ous,3,1,’}Ž‡,16:40,94,16:42,91,
3040393530FFFF00,1,ous,3,1,’}Ž‡,16:45,91,16:47,88,
3040393530FFFF00,1,ous,3,1,’}Ž‡,16:50,88,16:56,79,
3040393530FFFF00,1,ous,3,1,’}Ž‡,16:59,79,17:12,64,
3040393530FFFF00,1,ous,3,1,’}Ž‡,16:59,79,17:12,64,
3040393530FFFF00,1,ous,3,1,’}Ž‡,17:18,64,17:26,49,
